Ideia / Problema / Oportunidade,Experimentação,Piloto,Escala,Iniciativa,Descrição,Unnamed: 6,#,Situação Atual e Próximos passos,Área,Sponsor/BO,Times,Início ,Previsão de Término,Mês Conclusão,Ano Conclusão,Tecnologia,Histórico e Apredizados,Datas perdidas,Data de Atualização,Ordem,Ganhos
Concluido,Em Andamento,,,Copiloto de Vendas-Ciclo 2- Notas Vendedores,Avaliar os operadores de vendas ativas atribuindo notas às suas proficiências para verificar se há um aumento na conversão de vendas.,,2.0,"Finalizando o experimento para coleta de métricas, em paralelo solicitando o HLE para TI. Entrega do DSS 04/08.",Canais Remotos,Cristiano / Gilbert,beOn Labs,2024-12-01,2025-06-28 00:00:00,7.0,2025.0,Gen AI,Os problemas de transcrição causaram o impacto na avaliação pelos vendedores que acreditam que por essa causa as notas eram afetadas.Alteramos o simulador de forma que ela apresente o áudio para escuta e incluimos também uma justificativa das notas dadas pela IA,2025-03-28 00:00:00,2025-07-30,,
Concluido,Concluido com Pivot,,,Projeto Homologação - Compras e Engenharia (Plataforma de Materiais),"Localizar rapidamente um determinado item, obter informações detalhadas e técnicas e ter acesso a um banco de imagens para facilitar a sua identificação.",,3.0,"Foi apresentado o resultado final com 87% de acurácia, e foi sinalizado o desejo de prosseguimento para piloto.",Engenharia,Schumacher / Pedro,beOn Labs,2025-03-01,2025-06-06 00:00:00,,,Gen AI,"Os testes foram pobres até o momento, a ideia é realmente ter uma conversa e algumas consultas podem ser perfeitamente feitas em um sistema transacional normal (consulta de um item por numero). Consultaram também informações que não existiam nos dados fornecidos pela Engenharia, necessário um processo para garantir o cadastro atualizado.","16/05/2025
10/03/2025",2025-07-30,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Autoinspeção - Ciclo 2,Utilizar LLM Multimodais pra analisar imagens de instalação ou manutenção da rede e indicar ao técnico o serviço correto.,,1.0,Entrega do HLE do TOA dia 08/08,Operações Técnicas,Carlos Souza / Pietro,beOn Labs,,2025-03-10 00:00:00,2.0,2025.0,Gen AI,,,2025-08-08,,
Concluido,Em Validação,,,Análise de Chamadas de Vendas - Ciclo 2,Motivo da não venda e o que o operador fez para tentar vender. Segundo ciclo de experimentação da primeira iniciativa  Análise de Vendas,,3.0,Em validação dos resultados processados pela IA,Canais Remotos,Cristiano / Cintia,TI-Time Infra Call Center,2024-11-01,2025-05-30 00:00:00,,,Gen AI,,,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Análise Formulários de RH Offboarding,Uso da Gen AI para análise dos formulários de Offboarding de colaboradores.,,1.0,"HLE está ok, enviar dia 07/08",RH,Carlos Mendes,TI / Time RH,2025-03-07,2025-01-31 00:00:00,1.0,2025.0,Gen AI,,,2025-08-08,,
Não Iniciado,,,,Análise Formulários de RH PDL,Uso da Gen AI para análise dos formulários de  PDL do RH.,,3.0,,RH,Carlos Mendes,TI / Time RH,,,,,Gen AI,,,,1.0,
Concluido,Parado,,,SambaNova,Avaliar Performance da plataforma Samba Nova comparada com outras plataformas.,,2.0,API liberada. .Falta engajar para testes.  Precisamos de 30 pessoas para fazer no mínimo 30 perguntas.,beOn,Assad,TI,,2025-02-26 00:00:00,,,Gen AI,,,,,
Concluido,Parado,,,DeepSeek ,Comparativo do LLM da DeepSeek R1 com o Open AI no case de URA Cognitiva de Atendimento.,,1.0,"Resultados gerados.  Para o caso de URA Cognitiva os resultados foram:
deepseek - 77% vs OpenAI ChatGpt 3.5 - 58%
OpenAI ChatGpt 4omini - 85% vs deepseek - 77%

Mais testes estão previstos ,mas precisamos  de créditos de 24 GPUs para rodar em uma cloud.",TI,Assad,TI e TI Infra Call Center,,2025-03-07 00:00:00,,,Gen AI,,,,,
Concluido,Concluido,Em andamento,,Copilot Atendimento,"Experimento usa IA generativa com arquitetura RAG para criar assistente de call center, combinando recuperação de informações e geração de texto para respostas precisas e contextuais, melhorando a experiência do cliente e eficiência do atendimento.",,3.0,Em piloto,Atendimento,Celso Tonet,TI,,,8.0,2023.0,Gen AI,,,,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Portal de Denúncias,Reduzir o tempo de captura dos dados e análise das denúncias através de ferramentas de automação e generative AI,,1.0,"Aberta a SD 129093, identificar a GR para ver os próximos passos",Governança e Compliance,Rolando / Adriano,TI,,,4.0,2024.0,Gen AI,,,2025-08-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,"Análise de chamadas de Call Center Empresarial (CX (NPS/CSAT) 
Análise  de chamadas CCOE Mesa de Cloud",Realização de análise de CSAT e NPS sobre os áudios das manifestações em chamadas dos clientes empresariais.,,1.0,"Aguardando aprovação dos custos pelo demandante. Aguardando sinalização de verba pela area demandante, prazo máximo 31/07/25,  caso contrário, haverá o cancelamento da demanda.",Empresarial,Carla Tieme,HITSS,,,6.0,2023.0,Gen AI,,,2025-08-08,,
Concluido,Concluido,Concluido,Em produtização,Análise de comentários das lojas de apps (IA Otimiza App),Validação e rankeamento de Apps (playstore/apple store),,3.0,GO TO MKT,Empresarial,Mario Rachid,HITSS,,,8.0,2023.0,Gen AI,,,2025-05-08,,
